Best Amenity Scored,lat,lon,amenity,name,distance
0,49.2777729,-123.1208527,bicycle_rental,Nelson & Richards,589.7136504907942
1,49.2873953,-123.1288386,restaurant,JoongWon,650.7259725125751
2,49.2866244,-123.1282577,fast_food,Chongqing on Robson,554.1714266633251
3,49.287665,-123.1292506,restaurant,Stepho's,693.5134339725763
4,49.2867409,-123.1284213,fast_food,A Taste of India,572.0709512849825
5,49.2875709,-123.1291089,restaurant,Hon's Wun-Tun House,678.6555728043679
6,49.2873728,-123.1282271,restaurant,miss KOREAN BBQ,623.7565163395491
7,49.2871553,-123.1290789,restaurant,Forage,639.321603701784
8,49.2870445,-123.128902,restaurant,Timber,621.2532651250617
9,49.2874858,-123.1289807,restaurant,Miko Sushi,665.2313783156873
10,49.2875631,-123.129718,restaurant,Cora,705.4625717255227
11,49.2866006,-123.1282087,cafe,Chatime,549.8392222929313
12,49.2865615,-123.1281828,fast_food,Pok'e Time,545.0998103630927
13,49.2864194,-123.1272344,cafe,Abode,493.5072407675626
14,49.2866559,-123.1274985,pub,Shenanigans,526.4254105079046
15,49.2796591,-123.1162932,bicycle_rental,Homer & Robson,700.7008634306158
16,49.2823937,-123.1185854,bicycle_rental,Granville & Georgia,446.93551083631337
17,49.2881444,-123.1320198,bicycle_rental,Nicola & Robson,871.5872479243574
18,49.2821191,-123.1336624,restaurant,Ramen Koika,733.176991246845
19,49.2814778,-123.1336029,cafe,Exile,736.0170667752848
20,49.2860026,-123.116602,bicycle_rental,Hornby & Pender,717.5223919691857
21,49.2873431,-123.1143935,cafe,Starbucks,944.032788242466
22,49.2842686,-123.1197597,fast_food,Smokehouse Sandwich Co,406.36995905669505
23,49.2863279,-123.1256179,restaurant,Kirin Mandarin Restaurant,439.01963751564097
24,49.285993500000004,-123.1250868,restaurant,Pink Elephant Thai,394.3989138717264
25,49.285902899999996,-123.1249177,cafe,Tim Hortons,382.5581436827447
26,49.2860548,-123.1251718,fast_food,A&W,402.2060321285285
27,49.2860886,-123.1252316,fast_food,Subway,406.72187350591156
28,49.28525,-123.1254062,restaurant,Fantacity Karaoke,318.8530919378407
29,49.2876133,-123.1149238,cafe,Starbucks,928.4469397022311
30,49.2833805,-123.1310401,bicycle_rental,Bute & Comox,536.2137542144452
31,49.2774968,-123.1142367,bicycle_rental,Beatty & Robson,962.9672724176644
